省份,城市,死亡率,年份,来源
未注明,庐山市,8.31,2023,九江统计年鉴
未注明,延边市,10.44,2022,延边统计年鉴
云南省,临沧市,8.66,2025,临沧市国民经济和社会发展统计公报
云南省,丽江市,8.56,2025,丽江市国民经济和社会发展统计公报
云南省,保山市,7.78,2024,保山市国民经济和社会发展统计公报
云南省,大理白族自治州,7.93,2024,大理白族自治州国民经济和社会发展统计公报
云南省,德宏傣族景颇族自治州,9.8,2024,德宏傣族景颇族自治州国民经济和社会发展统计公报
云南省,怒江傈僳族自治州,9.37,2024,怒江傈僳族自治州国民经济和社会发展统计公报
云南省,文山壮族苗族自治州,9.6,2024,文山壮族苗族自治州国民经济和社会发展统计公报
云南省,昆明市,7.88,2025,昆明市国民经济和社会发展统计公报
云南省,昭通市,10.6,2024,昭通市国民经济和社会发展统计公报
云南省,普洱市,7.78,2024,普洱市国民经济和社会发展统计公报
云南省,曲靖市,9.11,2024,曲靖市国民经济和社会发展统计公报
云南省,楚雄彝族自治州,7.7,2025,楚雄彝族自治州国民经济和社会发展统计公报
云南省,玉溪市,7.86,2024,玉溪市国民经济和社会发展统计公报
云南省,红河哈尼族彝族自治州,8.14,2024,红河哈尼族彝族自治州国民经济和社会发展统计公报
云南省,西双版纳傣族自治州,7.5,2025,西双版纳傣族自治州国民经济和社会发展统计公报
云南省,迪庆藏族自治州,6.33,2024,迪庆藏族自治州国民经济和社会发展统计公报
内蒙古自治区,乌兰察布市,12.1,2025,乌兰察布市国民经济和社会发展统计公报
内蒙古自治区,乌海市,7.59,2025,乌海市国民经济和社会发展统计公报
内蒙古自治区,兴安盟,8.58,2025,兴安盟国民经济和社会发展统计公报
内蒙古自治区,包头市,8.29,2025,包头市国民经济和社会发展统计公报
内蒙古自治区,呼伦贝尔市,11.41,2025,呼伦贝尔市国民经济和社会发展统计公报
内蒙古自治区,呼和浩特市,6.6,2025,呼和浩特市国民经济和社会发展统计公报
